Domain,Problem,SPC,v8.2.0,v8.1.0,v8.0.0,v7.5.0,v7.4.0,v7.3.0,v7.2.0,v7.1.0,v7.0.0,v6.4.0,v6.3.0,v6.2.0,v6.1.0,v6.0.0,v5.5.0,v5.4.0,v5.3.0,v5.2.0,v5.1.0,v5.0.0,v4.1.0,v4.0.1,v4.0.0,v3.7.0,v3.5.0,v3.4.0,v3.3.0,v3.2.0,v3.1.0,v2.7.0,v2.6.0,v2.5.0,v2.4.0,v2.3.0.,v2.3.0,v2.2.1,v2.2.0,v2.1.0,v2.0.0,.0
COL,COL084-1.p,CNF_UNS_RFO_PEQ_UEQ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
COL,COL085-1.p,CNF_UNS_RFO_PEQ_UEQ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
COL,COL086-1.p,CNF_UNS_RFO_PEQ_UEQ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
COL,COL087-1.p,CNF_OPN_RFO_PEQ_UEQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,
COL,COL088-1.p,CNF_UNS_RFO_SEQ_NHN,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.18,0.18,0.18,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.27,0.36,0.36,0.36,0.36,,,,,,,,,,
COL,COL088-2.p,CNF_UNS_RFO_SEQ_NHN,0.40,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.45,0.45,0.45,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.82,0.82,0.82,0.82,0.82,,,,,,,,,,
COL,COL089-1.p,CNF_UNS_RFO_SEQ_NHN,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.18,0.18,0.18,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.27,0.36,0.36,0.36,0.36,,,,,,,,,,
COL,COL089-2.p,CNF_UNS_RFO_SEQ_NHN,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.45,0.45,0.45,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.82,0.82,0.82,0.82,0.82,,,,,,,,,,
COL,COL090-1.p,CNF_UNS_RFO_SEQ_NHN,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.18,0.18,0.18,0.21,0.21,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.36,0.42,0.45,0.45,0.45,,,,,,,,,,
COL,COL090-2.p,CNF_UNS_RFO_SEQ_NHN,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.45,0.45,0.45,0.60,0.64,0.80,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,,,,,,,,,,
COL,COL090-3.p,CNF_UNS_RFO_SEQ_NHN,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.14,0.14,0.14,0.14,0.14,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.25,0.36,0.36,0.36,,,,,,,,,,
COL,COL091-1.p,CNF_UNS_RFO_SEQ_NHN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.25,0.27,0.27,0.27,,,,,,,,,,
COL,COL091-2.p,CNF_UNS_RFO_SEQ_NHN,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.33,0.43,0.45,0.45,,,,,,,,,,
COL,COL092-1.p,CNF_UNS_RFO_SEQ_NHN,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.25,0.36,0.36,0.36,,,,,,,,,,
COL,COL092-2.p,CNF_UNS_RFO_SEQ_NHN,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.36,0.36,0.36,0.50,0.64,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.73,0.75,0.79,0.85,0.91,,,,,,,,,,
COL,COL093-1.p,CNF_UNS_RFO_SEQ_NHN,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.25,0.36,0.36,0.36,,,,,,,,,,
COL,COL093-2.p,CNF_UNS_RFO_SEQ_NHN,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.36,0.36,0.36,0.50,0.64,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.73,0.75,0.79,0.85,0.91,,,,,,,,,,
COL,COL094-1.p,CNF_UNS_RFO_SEQ_NHN,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.47,0.55,0.55,0.60,0.79,0.80,0.90,0.90,0.93,0.93,0.93,0.93,,,,,,,,,1.00,,,,,,,,,,
COL,COL094-2.p,CNF_UNS_RFO_SEQ_NHN,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.80,0.80,0.80,0.80,0.86,0.90,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,1.00,,,,,,,,,,
COL,COL095-1.p,CNF_UNS_RFO_SEQ_NHN,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.55,0.55,0.55,0.60,0.79,0.90,0.93,0.93,0.93,0.93,0.93,0.93,,,,,,,,,1.00,,,,,,,,,,
COL,COL095-2.p,CNF_UNS_RFO_SEQ_NHN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.70,0.70,0.70,0.70,0.86,,,,,,,,,,,,,,,,1.00,,,,,,,,,,
COL,COL096-1.p,CNF_UNS_RFO_SEQ_NHN,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.80,0.80,0.80,0.80,0.90,0.90,,,,,,,,,,,,,,,1.00,,,,,,,,,,
COL,COL096-2.p,CNF_UNS_RFO_SEQ_NHN,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,
COL,COL097-1.p,CNF_UNK_RFO_SEQ_NHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,
COL,COL097-2.p,CNF_UNK_RFO_SEQ_NHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,
COL,COL098-1.p,CNF_UNS_RFO_SEQ_HRN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
COL,COL098-2.p,CNF_UNS_RFO_SEQ_NHN,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.73,0.73,0.73,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.91,0.91,0.91,0.91,0.91,,,,,,,,,,
COL,COL099-1.p,CNF_UNS_RFO_SEQ_HRN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
COL,COL099-2.p,CNF_UNS_RFO_SEQ_NHN,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.36,0.36,0.36,0.36,0.36,,,,,,,,,,
COL,COL100-1.p,CNF_UNS_RFO_SEQ_HRN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
COL,COL100-2.p,CNF_UNS_RFO_SEQ_NHN,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.80,0.80,0.82,0.90,0.90,0.90,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,,,,,,,,,,
COL,COL101-1.p,CNF_UNS_RFO_SEQ_NHN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.06,0.06,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.17,0.21,,,,,,,,,,,,
COL,COL101-2.p,CNF_UNS_RFO_NEQ_HRN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
COL,COL102-1.p,CNF_UNS_RFO_SEQ_NHN,0.32,0.32,0.32,0.32,0.35,0.35,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.45,0.58,0.71,,,,,,,,,,,,
COL,COL102-2.p,CNF_UNS_RFO_NEQ_HRN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
COL,COL103-1.p,CNF_UNS_RFO_SEQ_NHN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.06,0.06,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.17,0.21,,,,,,,,,,,,
COL,COL103-2.p,CNF_UNS_RFO_NEQ_HRN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
COL,COL104-1.p,CNF_UNS_RFO_SEQ_NHN,0.32,0.32,0.32,0.32,0.35,0.35,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.45,0.58,0.71,,,,,,,,,,,,
COL,COL104-2.p,CNF_UNS_RFO_NEQ_HRN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
COL,COL105-1.p,CNF_UNS_RFO_SEQ_NHN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.25,0.36,,,,,,,,,,,,
COL,COL105-2.p,CNF_UNS_RFO_NEQ_HRN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
COL,COL106-1.p,CNF_UNS_RFO_SEQ_NHN,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.70,0.90,0.90,0.94,0.94,0.94,0.94,0.94,,,,,,,,1.00,,,,,,,,,,,,
COL,COL106-2.p,CNF_UNS_RFO_SEQ_NHN,0.32,0.32,0.32,0.32,0.33,0.33,0.33,0.33,0.33,0.45,0.45,0.45,0.50,0.50,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.67,0.67,0.71,,,,,,,,,,,,
COL,COL107-1.p,CNF_UNS_RFO_SEQ_NHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,
COL,COL108-1.p,CNF_UNS_RFO_SEQ_NHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,
COL,COL109-1.p,CNF_UNS_RFO_SEQ_NHN,0.43,0.43,0.47,0.47,0.47,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.57,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.64,0.75,0.93,,,,,,,,,,,,
COL,COL109-2.p,CNF_UNS_RFO_NEQ_HRN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
COL,COL110-1.p,CNF_UNS_RFO_SEQ_NHN,0.48,0.48,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.71,0.71,0.71,,,,,,,,,,,,
COL,COL110-2.p,CNF_UNS_RFO_NEQ_HRN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
COL,COL111-1.p,CNF_UNS_RFO_SEQ_NHN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.25,0.36,,,,,,,,,,,,
COL,COL111-2.p,CNF_UNS_RFO_NEQ_HRN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
COL,COL112-1.p,CNF_UNS_RFO_SEQ_NHN,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.10,0.10,0.10,0.10,0.10,0.10,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.25,0.36,,,,,,,,,,,,
COL,COL112-2.p,CNF_UNS_RFO_NEQ_HRN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
COL,COL113-1.p,CNF_UNS_RFO_SEQ_NHN,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.10,0.15,0.15,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.29,,,,,,,,,,,,
COL,COL113-2.p,CNF_UNS_RFO_NEQ_HRN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
COL,COL114-1.p,CNF_UNS_RFO_SEQ_NHN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.10,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.25,0.36,,,,,,,,,,,,
COL,COL114-2.p,CNF_UNS_RFO_NEQ_HRN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
COL,COL115-1.p,CNF_UNS_RFO_SEQ_NHN,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.10,0.10,0.10,0.10,0.10,0.10,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.25,0.36,,,,,,,,,,,,
COL,COL115-2.p,CNF_UNS_RFO_NEQ_HRN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
COL,COL116-1.p,CNF_UNS_RFO_SEQ_NHN,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.10,0.15,0.15,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.25,0.29,,,,,,,,,,,,
COL,COL116-2.p,CNF_UNS_RFO_NEQ_HRN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
COL,COL117-1.p,CNF_UNS_RFO_SEQ_NHN,0.38,0.38,0.42,0.42,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.57,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.64,0.75,0.86,,,,,,,,,,,,
COL,COL117-2.p,CNF_UNS_RFO_NEQ_HRN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
COL,COL118-1.p,CNF_UNS_RFO_SEQ_NHN,0.19,0.19,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.36,0.42,0.50,,,,,,,,,,,,
COL,COL118-2.p,CNF_UNS_RFO_NEQ_HRN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
COL,COL119-1.p,CNF_UNS_RFO_SEQ_NHN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.07,0.07,0.07,0.10,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.25,0.36,,,,,,,,,,,,
COL,COL119-2.p,CNF_UNS_RFO_NEQ_HRN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
COL,COL120-1.p,CNF_UNS_RFO_SEQ_NHN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.25,0.36,,,,,,,,,,,,
COL,COL120-2.p,CNF_UNS_RFO_NEQ_HRN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
COL,COL121-1.p,CNF_UNS_RFO_SEQ_NHN,0.53,0.53,0.53,0.53,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.70,0.71,0.80,0.88,0.88,0.88,0.88,0.88,0.90,0.90,0.90,0.90,0.90,,,1.00,,,,,,,,,,,,
COL,COL121-2.p,CNF_UNS_RFO_NEQ_HRN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
COL,COL122-1.p,CNF_UNS_RFO_SEQ_NHN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.12,0.12,0.18,0.18,0.18,0.18,0.18,0.20,0.25,0.25,0.36,,,,,,,,,,,,
COL,COL122-2.p,CNF_UNS_RFO_NEQ_HRN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
COL,COL123-1.p,CNF_UNS_RFO_SEQ_NHN,0.52,0.52,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.64,0.64,0.64,0.64,0.64,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.80,0.80,0.82,0.83,0.86,,,,,,,,,,,,
COL,COL123-2.p,CNF_UNS_RFO_NEQ_HRN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
COL,COL124-1.p,CNF_UNS_RFO_SEQ_NHN,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.10,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.25,0.36,,,,,,,,,,,,
COL,COL124-2.p,CNF_UNS_RFO_NEQ_HRN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
COL,COL125+1.p,FOF_CSA_RFO_SEQ,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,COL125^1.p,TH0_UNK_EQU_NAR,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,COL126^1.p,TH0_UNK_EQU_NAR,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,COL127+1.p,FOF_CSA_RFO_SEQ,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,COL128+1.p,FOF_CSA_RFO_SEQ,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,COL129+1.p,FOF_CSA_RFO_SEQ,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,COL130+1.p,FOF_CSA_RFO_SEQ,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,COL131+1.p,FOF_CSA_RFO_SEQ,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,COL132+1.p,FOF_CSA_RFO_SEQ,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,COL133+1.p,FOF_CSA_RFO_SEQ,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,COL134+1.p,FOF_CSA_RFO_SEQ,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,COL135+1.p,FOF_CSA_RFO_SEQ,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COM,COM001-1.p,CNF_UNS_RFO_NEQ_HRN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
COM,COM001_1.p,TF0_THM_NEQ_NAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,
COM,COM001_10.p,TF0_SAT_NEQ_NAR,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COM,COM002-1.p,CNF_UNS_RFO_NEQ_HRN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
COM,COM002-2.p,CNF_UNS_RFO_NEQ_NHN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,
COM,COM002_1.p,TF0_THM_NEQ_NAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,,,,,,,,,,,,,,,,,,,,
COM,COM002_10.p,TF0_SAT_NEQ_NAR,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COM,COM002_2.p,TF0_THM_NEQ_NAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,,,,,,,,,,,,,,,,,,,,
COM,COM002_20.p,TF0_SAT_NEQ_NAR,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
